Question,Option A,Option B,Option C,Option D,Answer,,,,,
What is the synonym of 'abundant'?,Scarce,Sparse,Plentiful,Limited,C,,,,,
What does 'ephemeral' mean?,Brief or short-lived,Permanent,Eternal,Continuous,A,,,,,
What is the antonym of 'vivid'?,Faint,Dull,Bright,Lively,B,,,,,
What does 'exemplify' mean?,To serve as an example of,To ignore,To complicate,To disagree,A,,,,,
What is the synonym of 'endeavor'?,Attempt,Neglect,Destroy,Avoid,A,,,,,
What does 'mitigate' mean?,To make less severe or painful,To worsen,To criticize,To strengthen,A,,,,,
What is the antonym of 'obsolete'?,Current,Modern,Outdated,Ancient,A,,,,,
What does 'ambivalent' mean?,Having mixed feelings or contradictory ideas,Being indifferent,Being determined,Being certain,A,,,,,
What is the synonym of 'alleviate'?,Relieve,Aggravate,Intensify,Worsen,A,,,,,
What does 'emulate' mean?,To imitate or match,To surpass or excel,To compete,To abandon,A,,,,,
What is the antonym of 'precise'?,Inexact,Accurate,Exact,Correct,A,,,,,
What does 'sustain' mean?,To maintain or support,To abandon or neglect,To weaken,To discourage,A,,,,,
What is the synonym of 'amicable'?,Friendly,Hostile,Aggressive,Quarrelsome,A,,,,,
What does 'concur' mean?,To agree,To contradict,To argue,To dispute,A,,,,,
What is the antonym of 'ephemeral'?,Permanent,Brief,Lasting,Short-lived,A,,,,,
What does 'proficient' mean?,Skilled or competent,Inexperienced,Incompetent,Amateur,A,,,,,
What is the synonym of 'sagacious'?,Wisdom,Ignorant,Stupid,Foolish,A,,,,,
What does 'empathy' mean?,Understanding and sharing the feelings of others,Sympathy,Antipathy,Apathy,A,,,,,
What is the antonym of 'elusive'?,Obvious,Clear,Evasive,Transparent,A,,,,,
What does 'resilient' mean?,Able to recover quickly from difficulties,Weak or fragile,Easily damaged,Inflexible,A,,,,,
What is the synonym of 'prolific'?,Productive,Lazy,Unproductive,Inactive,A,,,,,
What does 'integrity' mean?,Honesty and moral principles,Dishonesty,Deception,Corruption,A,,,,,
What is the antonym of 'inevitable'?,Avoidable,Unavoidable,Certain,Likely,A,,,,,
What does 'gratuitous' mean?,Unnecessary or uncalled for,Deserved or justified,Required,Essential,A,,,,,
What is the synonym of 'exemplary'?,Outstanding,Mediocre,Poor,Inferior,A,,,,,
What does 'proliferate' mean?,To increase rapidly in numbers,To decrease,To remain constant,To stabilize,A,,,,,
What is the antonym of 'impetuous'?,Cautious,Rash,Hasty,Quick,A,,,,,
What does 'pragmatic' mean?,Dealing with things sensibly and realistically,Idealistic,Impractical,Visionary,A,,,,,
What is the synonym of 'profound'?,Deep,Shallow,Superficial,Simple,A,,,,,
What does 'redundant' mean?,Unnecessary or repetitive,Essential,Vital,Necessary,A,,,,,
Question,Category,Option A,Option B,Option C,Option D,Answer,,,,
What is the synonym of 'abundant'?,Verbal Reasoning,Plentiful,Scarce,Rare,Sparse,A,,,,
What is the antonym of 'diligent'?,Verbal Reasoning,Lazy,Industrious,Active,Sloppy,A,,,,
What is 25% of 80?,Quantitative Reasoning,20,25,30,35,A,,,,
"If x + 5 = 12, what is the value of x?",Quantitative Reasoning,7,8,9,10,A,,,,
"What is the next number in the sequence: 2, 5, 10, 17, ...?",Quantitative Reasoning,26,28,30,32,A,,,,
"If a car travels at a speed of 60 miles per hour, how far will it travel in 3 hours?",Quantitative Reasoning,180 miles,150 miles,200 miles,240 miles,A,,,,
What is the square root of 144?,Quantitative Reasoning,10,11,12,13,C,,,,
"If a rectangle has a length of 8 meters and a width of 5 meters, what is its area?",Quantitative Reasoning,40 square meters,35 square meters,45 square meters,50 square meters,A,,,,
What is the synonym of 'vast'?,Verbal Reasoning,Immense,Tiny,Large,Minute,A,,,,
What is the antonym of 'humble'?,Verbal Reasoning,Arrogant,Proud,Modest,Shy,C,,,,
What is 20% of 250?,Quantitative Reasoning,50,60,70,80,B,,,,
"If 3x + 7 = 22, what is the value of x?",Quantitative Reasoning,5,6,7,8,A,,,,
"What is the next number in the sequence: 3, 6, 12, 24, ...?",Quantitative Reasoning,36,40,44,48,C,,,,
"If a train travels at a speed of 50 miles per hour for 2.5 hours, how far will it travel?",Quantitative Reasoning,125 miles,150 miles,175 miles,200 miles,B,,,,
What is the cube root of 64?,Quantitative Reasoning,2,3,4,5,B,,,,
"If a circle has a radius of 6 inches, what is its circumference?",Quantitative Reasoning,37.68 inches,37.68 feet,37.68 yards,37.68 meters,A,,,,
What is the synonym of 'proficient'?,Verbal Reasoning,Skilled,Inept,Amateur,Incompetent,A,,,,
What is the antonym of 'excessive'?,Verbal Reasoning,Moderate,Extreme,Abundant,Overindulgent,A,,,,
What is 15% of 200?,Quantitative Reasoning,20,25,30,35,C,,,,
"If 4y - 3 = 17, what is the value of y?",Quantitative Reasoning,5,6,7,8,B,,,,
"What is the next number in the sequence: 1, 4, 9, 16, ...?",Quantitative Reasoning,24,25,26,27,B,,,,
"If a plane travels at a speed of 500 miles per hour for 3 hours, how far will it travel?",Quantitative Reasoning,1500 miles,1750 miles,2000 miles,2250 miles,D,,,,
What is the square root of 169?,Quantitative Reasoning,11,12,13,14,C,,,,
"If a rectangle has a length of 10 meters and a width of 6 meters, what is its area?",Quantitative Reasoning,60 square meters,56 square meters,66 square meters,70 square meters,A,,,,
What is the synonym of 'sufficient'?,Verbal Reasoning,Adequate,Insufficient,Lacking,Plentiful,A,,,,
What is the antonym of 'obsolete'?,Verbal Reasoning,Outdated,Current,Old,Obsolete,B,,,,
What is 30% of 150?,Quantitative Reasoning,30,40,45,50,C,,,,
"If 2z - 5 = 7, what is the value of z?",Quantitative Reasoning,6,7,8,9,B,,,,
"What is the next number in the sequence: 5, 10, 20, 40, ...?",Quantitative Reasoning,80,90,100,110,C,,,,
"If a car travels at a speed of 70 miles per hour for 2.5 hours, how far will it travel?",Quantitative Reasoning,175 miles,185 miles,195 miles,205 miles,B,,,,
What is the cube root of 125?,Quantitative Reasoning,3,4,5,6,A,,,,
Question,Category,Option A,Option B,Option C,Option D,Answer,,,,
What is the synonym of 'abundant'?,Verbal Reasoning,Plentiful,Scarce,Rare,Sparse,A,,,,
What is the antonym of 'diligent'?,Verbal Reasoning,Lazy,Industrious,Active,Sloppy,A,,,,
What is 25% of 80?,Quantitative Reasoning,20,25,30,35,A,,,,
"If x + 5 = 12, what is the value of x?",Quantitative Reasoning,7,8,9,10,A,,,,
"What is the next number in the sequence: 2, 5, 10, 17, ...?",Quantitative Reasoning,26,28,30,32,A,,,,
"If a car travels at a speed of 60 miles per hour, how far will it travel in 3 hours?",Quantitative Reasoning,180 miles,150 miles,200 miles,240 miles,A,,,,
What is the square root of 144?,Quantitative Reasoning,10,11,12,13,C,,,,
"If a rectangle has a length of 8 meters and a width of 5 meters, what is its area?",Quantitative Reasoning,40 square meters,35 square meters,45 square meters,50 square meters,A,,,,
What is the synonym of 'vast'?,Verbal Reasoning,Immense,Tiny,Large,Minute,A,,,,
What is the antonym of 'humble'?,Verbal Reasoning,Arrogant,Proud,Modest,Shy,C,,,,
What is 20% of 250?,Quantitative Reasoning,50,60,70,80,B,,,,
"If 3x + 7 = 22, what is the value of x?",Quantitative Reasoning,5,6,7,8,A,,,,
"What is the next number in the sequence: 3, 6, 12, 24, ...?",Quantitative Reasoning,36,40,44,48,C,,,,
"If a train travels at a speed of 50 miles per hour for 2.5 hours, how far will it travel?",Quantitative Reasoning,125 miles,150 miles,175 miles,200 miles,B,,,,
What is the cube root of 64?,Quantitative Reasoning,2,3,4,5,B,,,,
"If a circle has a radius of 6 inches, what is its circumference?",Quantitative Reasoning,37.68 inches,37.68 feet,37.68 yards,37.68 meters,A,,,,
What is the synonym of 'proficient'?,Verbal Reasoning,Skilled,Inept,Amateur,Incompetent,A,,,,
What is the antonym of 'excessive'?,Verbal Reasoning,Moderate,Extreme,Abundant,Overindulgent,A,,,,
What is 15% of 200?,Quantitative Reasoning,20,25,30,35,C,,,,
"If 4y - 3 = 17, what is the value of y?",Quantitative Reasoning,5,6,7,8,B,,,,
"What is the next number in the sequence: 1, 4, 9, 16, ...?",Quantitative Reasoning,24,25,26,27,B,,,,
"If a plane travels at a speed of 500 miles per hour for 3 hours, how far will it travel?",Quantitative Reasoning,1500 miles,1750 miles,2000 miles,2250 miles,D,,,,
What is the square root of 169?,Quantitative Reasoning,11,12,13,14,C,,,,
"If a rectangle has a length of 10 meters and a width of 6 meters, what is its area?",Quantitative Reasoning,60 square meters,56 square meters,66 square meters,70 square meters,A,,,,
What is the synonym of 'sufficient'?,Verbal Reasoning,Adequate,Insufficient,Lacking,Plentiful,A,,,,
What is the antonym of 'obsolete'?,Verbal Reasoning,Outdated,Current,Old,Obsolete,B,,,,
What is 30% of 150?,Quantitative Reasoning,30,40,45,50,C,,,,
"If 2z - 5 = 7, what is the value of z?",Quantitative Reasoning,6,7,8,9,B,,,,
"What is the next number in the sequence: 5, 10, 20, 40, ...?",Quantitative Reasoning,80,90,100,110,C,,,,
"If a car travels at a speed of 70 miles per hour for 2.5 hours, how far will it travel?",Quantitative Reasoning,175 miles,185 miles,195 miles,205 miles,B,,,,
What is the cube root of 125?,Quantitative Reasoning,3,4,5,6,A,,,,
Question,Category,Option A,Option B,Option C,Option D,Answer,,,,
What is the synonym of 'abundant'?,Verbal Reasoning,Plentiful,Scarce,Rare,Sparse,A,,,,
What is the antonym of 'diligent'?,Verbal Reasoning,Lazy,Industrious,Active,Sloppy,A,,,,
What is 25% of 80?,Quantitative Reasoning,20,25,30,35,A,,,,
"If x + 5 = 12, what is the value of x?",Quantitative Reasoning,7,8,9,10,A,,,,
"What is the next number in the sequence: 2, 5, 10, 17, ...?",Quantitative Reasoning,26,28,30,32,A,,,,
"If a car travels at a speed of 60 miles per hour, how far will it travel in 3 hours?",Quantitative Reasoning,180 miles,150 miles,200 miles,240 miles,A,,,,
What is the square root of 144?,Quantitative Reasoning,10,11,12,13,C,,,,
"If a rectangle has a length of 8 meters and a width of 5 meters, what is its area?",Quantitative Reasoning,40 square meters,35 square meters,45 square meters,50 square meters,A,,,,
What is the synonym of 'vast'?,Verbal Reasoning,Immense,Tiny,Large,Minute,A,,,,
What is the antonym of 'humble'?,Verbal Reasoning,Arrogant,Proud,Modest,Shy,C,,,,
What is 20% of 250?,Quantitative Reasoning,50,60,70,80,B,,,,
"If 3x + 7 = 22, what is the value of x?",Quantitative Reasoning,5,6,7,8,A,,,,
"What is the next number in the sequence: 3, 6, 12, 24, ...?",Quantitative Reasoning,36,40,44,48,C,,,,
"If a train travels at a speed of 50 miles per hour for 2.5 hours, how far will it travel?",Quantitative Reasoning,125 miles,150 miles,175 miles,200 miles,B,,,,
What is the cube root of 64?,Quantitative Reasoning,2,3,4,5,B,,,,
"If a circle has a radius of 6 inches, what is its circumference?",Quantitative Reasoning,37.68 inches,37.68 feet,37.68 yards,37.68 meters,A,,,,
What is the synonym of 'proficient'?,Verbal Reasoning,Skilled,Inept,Amateur,Incompetent,A,,,,
What is the antonym of 'excessive'?,Verbal Reasoning,Moderate,Extreme,Abundant,Overindulgent,A,,,,
What is 15% of 200?,Quantitative Reasoning,20,25,30,35,C,,,,
"If 4y - 3 = 17, what is the value of y?",Quantitative Reasoning,5,6,7,8,B,,,,
"What is the next number in the sequence: 1, 4, 9, 16, ...?",Quantitative Reasoning,24,25,26,27,B,,,,
"If a plane travels at a speed of 500 miles per hour for 3 hours, how far will it travel?",Quantitative Reasoning,1500 miles,1750 miles,2000 miles,2250 miles,D,,,,
What is the square root of 169?,Quantitative Reasoning,11,12,13,14,C,,,,
"If a rectangle has a length of 10 meters and a width of 6 meters, what is its area?",Quantitative Reasoning,60 square meters,56 square meters,66 square meters,70 square meters,A,,,,
What is the synonym of 'sufficient'?,Verbal Reasoning,Adequate,Insufficient,Lacking,Plentiful,A,,,,
What is the antonym of 'obsolete'?,Verbal Reasoning,Outdated,Current,Old,Obsolete,B,,,,
What is 30% of 150?,Quantitative Reasoning,30,40,45,50,C,,,,
"If 2z - 5 = 7, what is the value of z?",Quantitative Reasoning,6,7,8,9,B,,,,
"What is the next number in the sequence: 5, 10, 20, 40, ...?",Quantitative Reasoning,80,90,100,110,C,,,,
"If a car travels at a speed of 70 miles per hour for 2.5 hours, how far will it travel?",Quantitative Reasoning,175 miles,185 miles,195 miles,205 miles,B,,,,
What is the cube root of 125?,Quantitative Reasoning,3,4,5,6,A,,,,
Question,Category,Option A,Option B,Option C,Option D,Answer,,,,
What is the synonym of 'abundant'?,Verbal Reasoning,Plentiful,Scarce,Rare,Sparse,A,,,,
What is the antonym of 'diligent'?,Verbal Reasoning,Lazy,Industrious,Active,Sloppy,A,,,,
What is 25% of 80?,Quantitative Reasoning,20,25,30,35,A,,,,
"If x + 5 = 12, what is the value of x?",Quantitative Reasoning,7,8,9,10,A,,,,
"What is the next number in the sequence: 2, 5, 10, 17, ...?",Quantitative Reasoning,26,28,30,32,A,,,,
"If a car travels at a speed of 60 miles per hour, how far will it travel in 3 hours?",Quantitative Reasoning,180 miles,150 miles,200 miles,240 miles,A,,,,
What is the square root of 144?,Quantitative Reasoning,10,11,12,13,C,,,,
"If a rectangle has a length of 8 meters and a width of 5 meters, what is its area?",Quantitative Reasoning,40 square meters,35 square meters,45 square meters,50 square meters,A,,,,
What is the synonym of 'vast'?,Verbal Reasoning,Immense,Tiny,Large,Minute,A,,,,
What is the antonym of 'humble'?,Verbal Reasoning,Arrogant,Proud,Modest,Shy,C,,,,
What is 20% of 250?,Quantitative Reasoning,50,60,70,80,B,,,,
"If 3x + 7 = 22, what is the value of x?",Quantitative Reasoning,5,6,7,8,A,,,,
"What is the next number in the sequence: 3, 6, 12, 24, ...?",Quantitative Reasoning,36,40,44,48,C,,,,
"If a train travels at a speed of 50 miles per hour for 2.5 hours, how far will it travel?",Quantitative Reasoning,125 miles,150 miles,175 miles,200 miles,B,,,,
What is the cube root of 64?,Quantitative Reasoning,2,3,4,5,B,,,,
"If a circle has a radius of 6 inches, what is its circumference?",Quantitative Reasoning,37.68 inches,37.68 feet,37.68 yards,37.68 meters,A,,,,
What is the synonym of 'proficient'?,Verbal Reasoning,Skilled,Inept,Amateur,Incompetent,A,,,,
What is the antonym of 'excessive'?,Verbal Reasoning,Moderate,Extreme,Abundant,Overindulgent,A,,,,
What is 15% of 200?,Quantitative Reasoning,20,25,30,35,C,,,,
"If 4y - 3 = 17, what is the value of y?",Quantitative Reasoning,5,6,7,8,B,,,,
"What is the next number in the sequence: 1, 4, 9, 16, ...?",Quantitative Reasoning,24,25,26,27,B,,,,
"If a plane travels at a speed of 500 miles per hour for 3 hours, how far will it travel?",Quantitative Reasoning,1500 miles,1750 miles,2000 miles,2250 miles,D,,,,
What is the square root of 169?,Quantitative Reasoning,11,12,13,14,C,,,,
"If a rectangle has a length of 10 meters and a width of 6 meters, what is its area?",Quantitative Reasoning,60 square meters,56 square meters,66 square meters,70 square meters,A,,,,
What is the synonym of 'sufficient'?,Verbal Reasoning,Adequate,Insufficient,Lacking,Plentiful,A,,,,
What is the antonym of 'obsolete'?,Verbal Reasoning,Outdated,Current,Old,Obsolete,B,,,,
What is 30% of 150?,Quantitative Reasoning,30,40,45,50,C,,,,
"If 2z - 5 = 7, what is the value of z?",Quantitative Reasoning,6,7,8,9,B,,,,
"What is the next number in the sequence: 5, 10, 20, 40, ...?",Quantitative Reasoning,80,90,100,110,C,,,,
"If a car travels at a speed of 70 miles per hour for 2.5 hours, how far will it travel?",Quantitative Reasoning,175 miles,185 miles,195 miles,205 miles,B,,,,
What is the cube root of 125?,Quantitative Reasoning,3,4,5,6,A,,,,
Question,Category,Option A,Option B,Option C,Option D,Answer,,,,
What is the synonym of 'abundant'?,Verbal Reasoning,Plentiful,Scarce,Rare,Sparse,A,,,,
What is the antonym of 'diligent'?,Verbal Reasoning,Lazy,Industrious,Active,Sloppy,A,,,,
What is 25% of 80?,Quantitative Reasoning,20,25,30,35,A,,,,
"If x + 5 = 12, what is the value of x?",Quantitative Reasoning,7,8,9,10,A,,,,
"What is the next number in the sequence: 2, 5, 10, 17, ...?",Quantitative Reasoning,26,28,30,32,A,,,,
"If a car travels at a speed of 60 miles per hour, how far will it travel in 3 hours?",Quantitative Reasoning,180 miles,150 miles,200 miles,240 miles,A,,,,
What is the square root of 144?,Quantitative Reasoning,10,11,12,13,C,,,,
"If a rectangle has a length of 8 meters and a width of 5 meters, what is its area?",Quantitative Reasoning,40 square meters,35 square meters,45 square meters,50 square meters,A,,,,
What is the synonym of 'vast'?,Verbal Reasoning,Immense,Tiny,Large,Minute,A,,,,
What is the antonym of 'humble'?,Verbal Reasoning,Arrogant,Proud,Modest,Shy,C,,,,
What is 20% of 250?,Quantitative Reasoning,50,60,70,80,B,,,,
"If 3x + 7 = 22, what is the value of x?",Quantitative Reasoning,5,6,7,8,A,,,,
"What is the next number in the sequence: 3, 6, 12, 24, ...?",Quantitative Reasoning,36,40,44,48,C,,,,
"If a train travels at a speed of 50 miles per hour for 2.5 hours, how far will it travel?",Quantitative Reasoning,125 miles,150 miles,175 miles,200 miles,B,,,,
What is the cube root of 64?,Quantitative Reasoning,2,3,4,5,B,,,,
"If a circle has a radius of 6 inches, what is its circumference?",Quantitative Reasoning,37.68 inches,37.68 feet,37.68 yards,37.68 meters,A,,,,
What is the synonym of 'proficient'?,Verbal Reasoning,Skilled,Inept,Amateur,Incompetent,A,,,,
What is the antonym of 'excessive'?,Verbal Reasoning,Moderate,Extreme,Abundant,Overindulgent,A,,,,
What is 15% of 200?,Quantitative Reasoning,20,25,30,35,C,,,,
"If 4y - 3 = 17, what is the value of y?",Quantitative Reasoning,5,6,7,8,B,,,,
"What is the next number in the sequence: 1, 4, 9, 16, ...?",Quantitative Reasoning,24,25,26,27,B,,,,
"If a plane travels at a speed of 500 miles per hour for 3 hours, how far will it travel?",Quantitative Reasoning,1500 miles,1750 miles,2000 miles,2250 miles,D,,,,
What is the square root of 169?,Quantitative Reasoning,11,12,13,14,C,,,,
"If a rectangle has a length of 10 meters and a width of 6 meters, what is its area?",Quantitative Reasoning,60 square meters,56 square meters,66 square meters,70 square meters,A,,,,
What is the synonym of 'sufficient'?,Verbal Reasoning,Adequate,Insufficient,Lacking,Plentiful,A,,,,
What is the antonym of 'obsolete'?,Verbal Reasoning,Outdated,Current,Old,Obsolete,B,,,,
What is 30% of 150?,Quantitative Reasoning,30,40,45,50,C,,,,
"If 2z - 5 = 7, what is the value of z?",Quantitative Reasoning,6,7,8,9,B,,,,
"What is the next number in the sequence: 5, 10, 20, 40, ...?",Quantitative Reasoning,80,90,100,110,C,,,,
"If a car travels at a speed of 70 miles per hour for 2.5 hours, how far will it travel?",Quantitative Reasoning,175 miles,185 miles,195 miles,205 miles,B,,,,
What is the cube root of 125?,Quantitative Reasoning,3,4,5,6,A,,,,
Question,Category,Option A,Option B,Option C,Option D,Answer,,,,
What is the synonym of "abundant"?,Verbal Reasoning,Plentiful,Scarce,Rare,Sparse,A,,,,
What is the antonym of "diligent"?,Verbal Reasoning,Lazy,Industrious,Active,Sloppy,A,,,,
What is 25% of 80?,Quantitative Reasoning,20,25,30,35,A,,,,
If x + 5 = 12, what is the value of x?,Quantitative Reasoning,7,8,9,10,A,,,
What is the next number in the sequence: 2,5,10,17, ...?,Quantitative Reasoning,26,28,30,32,A
If a car travels at a speed of 60 miles per hour, how far will it travel in 3 hours?,Quantitative Reasoning,180 miles,150 miles,200 miles,240 miles,A,,,
What is the square root of 144?,Quantitative Reasoning,10,11,12,13,C,,,,
If a rectangle has a length of 8 meters and a width of 5 meters, what is its area?,Quantitative Reasoning,40 square meters,35 square meters,45 square meters,50 square meters,A,,,
What is the synonym of "vast"?,Verbal Reasoning,Immense,Tiny,Large,Minute,A,,,,
What is the antonym of "humble"?,Verbal Reasoning,Arrogant,Proud,Modest,Shy,C,,,,
What is 20% of 250?,Quantitative Reasoning,50,60,70,80,B,,,,
If 3x + 7 = 22, what is the value of x?,Quantitative Reasoning,5,6,7,8,A,,,
What is the next number in the sequence: 3,6,12,24, ...?,Quantitative Reasoning,36,40,44,48,C
If a train travels at a speed of 50 miles per hour for 2.5 hours, how far will it travel?,Quantitative Reasoning,125 miles,150 miles,175 miles,200 miles,B,,,
What is the cube root of 64?,Quantitative Reasoning,2,3,4,5,B,,,,
If a circle has a radius of 6 inches, what is its circumference?,Quantitative Reasoning,37.68 inches,37.68 feet,37.68 yards,37.68 meters,A,,,
What is the synonym of "proficient"?,Verbal Reasoning,Skilled,Inept,Amateur,Incompetent,A,,,,
What is the antonym of "excessive"?,Verbal Reasoning,Moderate,Extreme,Abundant,Overindulgent,A,,,,
What is 15% of 200?,Quantitative Reasoning,20,25,30,35,C,,,,
If 4y - 3 = 17, what is the value of y?,Quantitative Reasoning,5,6,7,8,B,,,
What is the next number in the sequence: 1,4,9,16, ...?,Quantitative Reasoning,24,25,26,27,B
If a plane travels at a speed of 500 miles per hour for 3 hours, how far will it travel?,Quantitative Reasoning,1500 miles,1750 miles,2000 miles,2250 miles,D,,,
What is the square root of 169?,Quantitative Reasoning,11,12,13,14,C,,,,
If a rectangle has a length of 10 meters and a width of 6 meters, what is its area?,Quantitative Reasoning,60 square meters,56 square meters,66 square meters,70 square meters,A,,,
What is the synonym of "sufficient"?,Verbal Reasoning,Adequate,Insufficient,Lacking,Plentiful,A,,,,
What is the antonym of "obsolete"?,Verbal Reasoning,Outdated,Current,Old,Obsolete,B,,,,
What is 30% of 150?,Quantitative Reasoning,30,40,45,50,C,,,,
If 2z - 5 = 7, what is the value of z?,Quantitative Reasoning,6,7,8,9,B,,,
What is the next number in the sequence: 5,10,20,40, ...?,Quantitative Reasoning,80,90,100,110,C
If a car travels at a speed of 70 miles per hour for 2.5 hours, how far will it travel?,Quantitative Reasoning,175 miles,185 miles,195 miles,205 miles,B,,,
What is the cube root of 125?,Quantitative Reasoning,3,4,5,6,A,,,,
